Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
25;18;0;400;10;30;30;0;0
26;18;0;400;10;30;30;0;0
27;18;0;400;10;30;30;0;0
28;18;0;400;10;30;30;0;0
29;18;0;400;10;30;30;0;0
30;18;0;400;10;30;30;0;0
31;18;0;400;10;30;30;0;0
32;18;0;400;10;30;30;0;0
33;18;0;400;10;30;30;0;0
34;18;0;400;10;30;30;0;0
35;18;0;400;10;30;30;0;0
36;18;0;400;10;30;30;0;0
37;18;0;400;10;30;30;0;0
38;18;0;400;10;30;30;0;0
39;18;0;400;10;30;30;0;0
40;18;0;400;10;30;30;0;0
41;18;0;400;10;30;30;0;0
42;18;0;400;10;30;30;0;0
43;18;0;400;10;30;30;0;0
44;18;0;400;10;30;30;0;0
45;18;0;400;10;30;30;0;0
46;18;0;400;10;30;30;0;0
47;18;0;400;10;30;30;0;0
48;18;0;400;10;30;30;0;0
49;18;0;400;10;30;30;0;0
50;18;0;400;10;30;30;0;0
51;18;0;400;10;30;30;0;0
52;18;0;400;10;30;30;0;0
53;18;0;400;10;30;30;0;0
54;18;0;400;10;30;30;0;0
55;18;0;400;10;30;30;0;0
56;18;0;400;10;30;30;0;0
57;18;0;400;10;30;30;0;0
58;18;0;400;10;30;30;0;0
59;18;0;400;10;30;30;0;0
60;18;0;400;10;30;30;0;0
61;18;0;400;10;30;30;0;0
62;18;0;400;10;30;30;0;0
63;18;0;400;10;30;30;0;0
64;18;0;400;10;30;30;0;0
65;18;0;400;10;30;30;0;0
66;18;0;400;10;30;30;0;0
67;18;0;400;10;30;30;0;0
68;18;0;400;10;30;30;0;0
69;18;0;400;10;30;30;0;0
70;18;0;400;10;30;30;0;0
71;18;0;400;10;30;30;0;0
72;18;0;400;10;30;30;0;0
73;18;0;400;10;30;30;0;0
74;18;0;400;10;30;30;0;0
75;18;0;400;10;30;30;0;0
76;18;0;400;10;30;30;0;0
77;18;0;400;10;30;30;0;0
78;18;0;400;10;30;30;0;0
79;18;0;400;10;30;30;0;0
80;18;0;400;10;30;30;0;0
81;18;0;400;10;30;30;0;0
82;18;0;400;10;30;30;0;0
83;18;0;400;10;30;30;0;0
84;18;0;400;10;30;30;0;0
85;18;0;400;10;30;30;0;0
86;18;0;400;10;30;30;0;0
87;18;0;400;10;30;30;0;0
88;18;0;400;10;30;30;0;0
89;18;0;400;10;30;30;0;0
90;18;0;400;10;30;30;0;0
91;18;0;400;10;30;30;0;0
92;18;0;400;10;30;30;0;0
93;18;0;400;10;30;30;0;0
94;18;0;400;10;30;30;0;0
95;18;0;400;10;30;30;0;0
96;18;0;400;10;30;30;0;0
97;18;0;400;10;30;30;0;0
98;18;0;400;10;30;30;0;0
99;18;0;400;10;30;30;0;0
0;18;0;400;10;30;30;0;0
1;18;0;400;10;30;30;0;0
2;18;0;400;10;30;30;0;0
3;18;0;400;10;30;30;0;0
4;18;0;400;10;30;30;0;0
5;18;0;400;10;30;30;0;0
6;18;0;400;10;30;30;0;0
7;18;0;400;10;30;30;0;0
8;18;0;400;10;30;30;0;0
9;18;0;400;10;30;30;0;0
10;18;0;400;10;30;30;0;0
11;18;0;400;10;30;30;0;0
12;18;0;400;10;30;30;0;0
13;18;0;400;10;30;30;0;0
14;18;0;400;10;30;30;0;0
15;18;0;400;10;30;30;0;0
16;18;0;400;10;30;30;0;0
17;18;0;400;10;30;30;0;0
18;18;0;400;10;30;30;0;0
19;18;0;400;10;30;30;0;0
20;18;0;400;10;30;30;0;0
21;18;0;400;10;30;30;0;0
22;18;0;400;10;30;30;0;0
23;18;0;400;10;30;30;0;0
24;18;0;400;10;30;30;0;0
25;18;0;400;10;30;30;0;0
26;18;0;400;10;30;30;0;0
27;18;0;400;10;30;30;0;0
28;18;0;400;10;30;30;0;0
29;18;0;400;10;30;30;0;0
30;18;0;400;10;30;30;0;0
31;18;0;400;10;30;30;0;0
32;18;0;400;10;30;30;0;0
33;18;0;400;10;30;30;0;0
34;18;0;400;10;30;30;0;0
35;18;0;400;10;30;30;0;0
36;18;0;400;10;30;30;0;0
37;18;0;400;10;30;30;0;0
38;18;0;400;10;30;30;0;0
39;18;0;400;10;30;30;0;0
40;18;0;400;10;30;30;0;0
41;18;0;400;10;30;30;0;0
42;18;0;400;10;30;30;0;0
43;18;0;400;10;30;30;0;0
44;18;0;400;10;30;30;0;0
45;18;0;400;10;30;30;0;0
46;18;0;400;10;30;30;0;0
47;18;0;400;10;30;30;0;0
48;18;0;400;10;30;30;0;0
49;18;0;400;10;30;30;0;0
50;18;0;400;10;30;30;0;0
51;18;0;400;10;30;30;0;0
52;18;0;400;10;30;30;0;0
53;18;0;400;10;30;30;0;0
54;18;0;400;10;30;30;0;0
55;18;0;400;10;30;30;0;0
56;18;0;400;10;30;30;0;0
57;18;0;400;10;30;30;0;0
58;18;0;400;10;30;30;0;0
59;18;0;400;10;30;30;0;0
60;18;0;400;10;30;30;0;0
61;18;0;400;10;30;30;0;0
62;18;0;400;10;30;30;0;0
63;18;0;400;10;30;30;0;0
64;18;0;400;10;30;30;0;0
65;18;0;400;10;30;30;0;0
66;18;0;400;10;30;30;0;0
67;18;0;400;10;30;30;0;0
68;18;0;400;10;30;30;0;0
69;18;0;400;10;30;30;0;0
70;18;0;400;10;30;30;0;0
71;18;0;400;10;30;30;0;0
72;18;0;400;10;30;30;0;0
73;18;0;400;10;30;30;0;0
74;18;0;400;10;30;30;0;0
75;18;0;400;10;30;30;0;0
76;18;0;400;10;30;30;0;0
77;18;0;400;10;30;30;0;0
78;18;0;400;10;30;30;0;0
79;18;0;400;10;30;30;0;0
80;18;0;400;10;30;30;0;0
81;18;0;400;10;30;30;0;0
82;18;0;400;10;30;30;0;0
83;18;0;400;10;30;30;0;0
84;18;0;400;10;30;30;0;0
85;18;0;400;10;30;30;0;0
86;18;0;400;10;30;30;0;0
87;18;0;400;10;30;30;0;0
88;18;0;400;10;30;30;0;0
89;18;0;400;10;30;30;0;0
90;18;0;400;10;30;30;0;0
91;18;0;400;10;30;30;0;0
92;18;0;400;10;30;30;0;0
93;18;0;400;10;30;30;0;0
94;18;0;400;10;30;30;0;0
95;18;0;400;10;30;30;0;0
96;18;0;400;10;30;30;0;0
97;18;0;400;10;30;30;0;0
98;18;0;400;10;30;30;0;0
99;18;0;400;10;30;30;0;0
0;18;11;400;10;30;30;682531;1726183731511072328
1;18;0;400;10;30;30;0;0
2;18;0;400;10;30;30;0;0
3;18;11;400;10;30;30;445848;1726183731540943460
4;18;0;400;10;30;30;0;0
5;18;0;400;10;30;30;0;0
6;18;0;400;10;30;30;0;0
7;18;0;400;10;30;30;0;0
8;18;0;400;10;30;30;0;0
9;18;0;400;10;30;30;0;0
10;18;0;400;10;30;30;0;0
11;18;0;400;10;30;30;0;0
12;18;0;400;10;30;30;0;0
13;18;0;400;10;30;30;0;0
14;18;0;400;10;30;30;0;0
15;18;0;400;10;30;30;0;0
16;18;0;400;10;30;30;0;0
17;18;0;400;10;30;30;0;0
18;18;0;400;10;30;30;0;0
19;18;0;400;10;30;30;0;0
20;18;0;400;10;30;30;0;0
21;18;0;400;10;30;30;0;0
22;18;0;400;10;30;30;0;0
23;18;0;400;10;30;30;0;0
24;18;0;400;10;30;30;0;0
25;18;0;400;10;30;30;0;0
26;18;0;400;10;30;30;0;0
27;18;0;400;10;30;30;0;0
28;18;0;400;10;30;30;0;0
29;18;0;400;10;30;30;0;0
30;18;0;400;10;30;30;0;0
31;18;0;400;10;30;30;0;0
32;18;0;400;10;30;30;0;0
33;18;0;400;10;30;30;0;0
34;18;0;400;10;30;30;0;0
35;18;0;400;10;30;30;0;0
36;18;0;400;10;30;30;0;0
37;18;0;400;10;30;30;0;0
38;18;0;400;10;30;30;0;0
39;18;0;400;10;30;30;0;0
40;18;0;400;10;30;30;0;0
41;18;0;400;10;30;30;0;0
42;18;0;400;10;30;30;0;0
43;18;0;400;10;30;30;0;0
44;18;0;400;10;30;30;0;0
45;18;0;400;10;30;30;0;0
46;18;0;400;10;30;30;0;0
47;18;0;400;10;30;30;0;0
48;18;0;400;10;30;30;0;0
49;18;0;400;10;30;30;0;0
50;18;0;400;10;30;30;0;0
51;18;0;400;10;30;30;0;0
52;18;0;400;10;30;30;0;0
53;18;0;400;10;30;30;0;0
54;18;0;400;10;30;30;0;0
55;18;0;400;10;30;30;0;0
56;18;0;400;10;30;30;0;0
57;18;0;400;10;30;30;0;0
58;18;0;400;10;30;30;0;0
59;18;0;400;10;30;30;0;0
60;18;0;400;10;30;30;0;0
61;18;0;400;10;30;30;0;0
62;18;0;400;10;30;30;0;0
63;18;0;400;10;30;30;0;0
64;18;0;400;10;30;30;0;0
65;18;0;400;10;30;30;0;0
66;18;0;400;10;30;30;0;0
67;18;0;400;10;30;30;0;0
68;18;0;400;10;30;30;0;0
69;18;0;400;10;30;30;0;0
70;18;0;400;10;30;30;0;0
71;18;0;400;10;30;30;0;0
72;18;0;400;10;30;30;0;0
73;18;0;400;10;30;30;0;0
74;18;0;400;10;30;30;0;0
75;18;0;400;10;30;30;0;0
76;18;0;400;10;30;30;0;0
77;18;0;400;10;30;30;0;0
78;18;0;400;10;30;30;0;0
79;18;0;400;10;30;30;0;0
80;18;0;400;10;30;30;0;0
81;18;0;400;10;30;30;0;0
82;18;0;400;10;30;30;0;0
83;18;0;400;10;30;30;0;0
84;18;0;400;10;30;30;0;0
85;18;0;400;10;30;30;0;0
86;18;0;400;10;30;30;0;0
87;18;0;400;10;30;30;0;0
88;18;0;400;10;30;30;0;0
89;18;0;400;10;30;30;0;0
90;18;0;400;10;30;30;0;0
91;18;0;400;10;30;30;0;0
92;18;0;400;10;30;30;0;0
93;18;0;400;10;30;30;0;0
94;18;0;400;10;30;30;0;0
95;18;0;400;10;30;30;0;0
96;18;0;400;10;30;30;0;0
97;18;0;400;10;30;30;0;0
98;18;0;400;10;30;30;0;0
99;18;0;400;10;30;30;0;0
0;18;0;400;10;30;30;0;0
1;18;12;400;10;30;30;678305;1726183731520965963
2;18;0;400;10;30;30;0;0
3;18;0;400;10;30;30;0;0
4;18;0;400;10;30;30;0;0
5;18;0;400;10;30;30;0;0
6;18;0;400;10;30;30;0;0
7;18;0;400;10;30;30;0;0
8;18;0;400;10;30;30;0;0
9;18;0;400;10;30;30;0;0
10;18;0;400;10;30;30;0;0
11;18;0;400;10;30;30;0;0
12;18;0;400;10;30;30;0;0
13;18;0;400;10;30;30;0;0
14;18;0;400;10;30;30;0;0
15;18;0;400;10;30;30;0;0
16;18;12;400;10;30;30;498915;1726183731670707533
17;18;0;400;10;30;30;0;0
18;18;0;400;10;30;30;0;0
19;18;0;400;10;30;30;0;0
20;18;0;400;10;30;30;0;0
21;18;0;400;10;30;30;0;0
22;18;0;400;10;30;30;0;0
23;18;0;400;10;30;30;0;0
24;18;0;400;10;30;30;0;0
25;18;0;400;10;30;30;0;0
26;18;0;400;10;30;30;0;0
27;18;0;400;10;30;30;0;0
28;18;0;400;10;30;30;0;0
29;18;0;400;10;30;30;0;0
30;18;0;400;10;30;30;0;0
31;18;0;400;10;30;30;0;0
32;18;0;400;10;30;30;0;0
33;18;0;400;10;30;30;0;0
34;18;0;400;10;30;30;0;0
35;18;0;400;10;30;30;0;0
36;18;0;400;10;30;30;0;0
37;18;0;400;10;30;30;0;0
38;18;0;400;10;30;30;0;0
39;18;0;400;10;30;30;0;0
40;18;0;400;10;30;30;0;0
41;18;0;400;10;30;30;0;0
42;18;0;400;10;30;30;0;0
43;18;0;400;10;30;30;0;0
44;18;0;400;10;30;30;0;0
45;18;0;400;10;30;30;0;0
46;18;0;400;10;30;30;0;0
47;18;0;400;10;30;30;0;0
48;18;0;400;10;30;30;0;0
49;18;0;400;10;30;30;0;0
50;18;0;400;10;30;30;0;0
51;18;0;400;10;30;30;0;0
52;18;0;400;10;30;30;0;0
53;18;0;400;10;30;30;0;0
54;18;0;400;10;30;30;0;0
55;18;0;400;10;30;30;0;0
56;18;0;400;10;30;30;0;0
57;18;0;400;10;30;30;0;0
58;18;0;400;10;30;30;0;0
59;18;0;400;10;30;30;0;0
60;18;0;400;10;30;30;0;0
61;18;0;400;10;30;30;0;0
62;18;0;400;10;30;30;0;0
63;18;0;400;10;30;30;0;0
64;18;0;400;10;30;30;0;0
65;18;0;400;10;30;30;0;0
66;18;0;400;10;30;30;0;0
67;18;0;400;10;30;30;0;0
68;18;0;400;10;30;30;0;0
69;18;0;400;10;30;30;0;0
70;18;0;400;10;30;30;0;0
71;18;0;400;10;30;30;0;0
72;18;0;400;10;30;30;0;0
73;18;0;400;10;30;30;0;0
74;18;0;400;10;30;30;0;0
75;18;0;400;10;30;30;0;0
76;18;0;400;10;30;30;0;0
77;18;0;400;10;30;30;0;0
78;18;0;400;10;30;30;0;0
79;18;0;400;10;30;30;0;0
80;18;0;400;10;30;30;0;0
81;18;0;400;10;30;30;0;0
82;18;0;400;10;30;30;0;0
83;18;0;400;10;30;30;0;0
84;18;0;400;10;30;30;0;0
85;18;0;400;10;30;30;0;0
86;18;0;400;10;30;30;0;0
87;18;0;400;10;30;30;0;0
88;18;0;400;10;30;30;0;0
89;18;0;400;10;30;30;0;0
90;18;0;400;10;30;30;0;0
91;18;0;400;10;30;30;0;0
92;18;0;400;10;30;30;0;0
93;18;0;400;10;30;30;0;0
94;18;0;400;10;30;30;0;0
95;18;0;400;10;30;30;0;0
96;18;0;400;10;30;30;0;0
97;18;0;400;10;30;30;0;0
98;18;0;400;10;30;30;0;0
99;18;0;400;10;30;30;0;0
0;18;0;400;10;30;30;0;0
1;18;0;400;10;30;30;0;0
2;18;0;400;10;30;30;0;0
3;18;0;400;10;30;30;0;0
4;18;0;400;10;30;30;0;0
5;18;0;400;10;30;30;0;0
6;18;0;400;10;30;30;0;0
7;18;0;400;10;30;30;0;0
8;18;0;400;10;30;30;0;0
9;18;0;400;10;30;30;0;0
10;18;0;400;10;30;30;0;0
11;18;0;400;10;30;30;0;0
12;18;0;400;10;30;30;0;0
13;18;0;400;10;30;30;0;0
14;18;0;400;10;30;30;0;0
15;18;0;400;10;30;30;0;0
16;18;0;400;10;30;30;0;0
17;18;0;400;10;30;30;0;0
18;18;0;400;10;30;30;0;0
19;18;0;400;10;30;30;0;0
20;18;0;400;10;30;30;0;0
21;18;0;400;10;30;30;0;0
22;18;0;400;10;30;30;0;0
23;18;0;400;10;30;30;0;0
24;18;0;400;10;30;30;0;0
25;18;0;400;10;30;30;0;0
26;18;0;400;10;30;30;0;0
27;18;0;400;10;30;30;0;0
28;18;0;400;10;30;30;0;0
29;18;0;400;10;30;30;0;0
30;18;0;400;10;30;30;0;0
31;18;0;400;10;30;30;0;0
32;18;0;400;10;30;30;0;0
33;18;0;400;10;30;30;0;0
34;18;0;400;10;30;30;0;0
35;18;0;400;10;30;30;0;0
36;18;0;400;10;30;30;0;0
37;18;0;400;10;30;30;0;0
38;18;0;400;10;30;30;0;0
39;18;0;400;10;30;30;0;0
40;18;0;400;10;30;30;0;0
41;18;0;400;10;30;30;0;0
42;18;0;400;10;30;30;0;0
43;18;0;400;10;30;30;0;0
44;18;0;400;10;30;30;0;0
45;18;0;400;10;30;30;0;0
46;18;0;400;10;30;30;0;0
47;18;0;400;10;30;30;0;0
48;18;0;400;10;30;30;0;0
49;18;0;400;10;30;30;0;0
50;18;0;400;10;30;30;0;0
51;18;0;400;10;30;30;0;0
52;18;0;400;10;30;30;0;0
53;18;0;400;10;30;30;0;0
54;18;0;400;10;30;30;0;0
55;18;0;400;10;30;30;0;0
56;18;0;400;10;30;30;0;0
57;18;0;400;10;30;30;0;0
58;18;0;400;10;30;30;0;0
59;18;0;400;10;30;30;0;0
60;18;0;400;10;30;30;0;0
61;18;0;400;10;30;30;0;0
62;18;0;400;10;30;30;0;0
63;18;0;400;10;30;30;0;0
64;18;0;400;10;30;30;0;0
65;18;0;400;10;30;30;0;0
66;18;0;400;10;30;30;0;0
67;18;0;400;10;30;30;0;0
68;18;0;400;10;30;30;0;0
69;18;0;400;10;30;30;0;0
70;18;0;400;10;30;30;0;0
71;18;0;400;10;30;30;0;0
72;18;0;400;10;30;30;0;0
73;18;0;400;10;30;30;0;0
74;18;0;400;10;30;30;0;0
75;18;0;400;10;30;30;0;0
76;18;0;400;10;30;30;0;0
77;18;0;400;10;30;30;0;0
78;18;0;400;10;30;30;0;0
79;18;0;400;10;30;30;0;0
80;18;0;400;10;30;30;0;0
81;18;0;400;10;30;30;0;0
82;18;0;400;10;30;30;0;0
83;18;0;400;10;30;30;0;0
84;18;0;400;10;30;30;0;0
85;18;0;400;10;30;30;0;0
86;18;0;400;10;30;30;0;0
87;18;0;400;10;30;30;0;0
88;18;0;400;10;30;30;0;0
89;18;0;400;10;30;30;0;0
90;18;0;400;10;30;30;0;0
91;18;0;400;10;30;30;0;0
92;18;0;400;10;30;30;0;0
93;18;0;400;10;30;30;0;0
94;18;0;400;10;30;30;0;0
95;18;0;400;10;30;30;0;0
96;18;0;400;10;30;30;0;0
97;18;0;400;10;30;30;0;0
98;18;0;400;10;30;30;0;0
99;18;0;400;10;30;30;0;0
0;18;0;400;10;30;30;0;0
1;18;0;400;10;30;30;0;0
2;18;0;400;10;30;30;0;0
3;18;0;400;10;30;30;0;0
4;18;0;400;10;30;30;0;0
5;18;0;400;10;30;30;0;0
6;18;0;400;10;30;30;0;0
7;18;0;400;10;30;30;0;0
8;18;0;400;10;30;30;0;0
9;18;0;400;10;30;30;0;0
10;18;0;400;10;30;30;0;0
11;18;0;400;10;30;30;0;0
12;18;0;400;10;30;30;0;0
13;18;0;400;10;30;30;0;0
14;18;0;400;10;30;30;0;0
15;18;0;400;10;30;30;0;0
16;18;0;400;10;30;30;0;0
17;18;0;400;10;30;30;0;0
18;18;0;400;10;30;30;0;0
19;18;0;400;10;30;30;0;0
20;18;0;400;10;30;30;0;0
21;18;0;400;10;30;30;0;0
22;18;0;400;10;30;30;0;0
23;18;0;400;10;30;30;0;0
24;18;0;400;10;30;30;0;0
25;18;0;400;10;30;30;0;0
26;18;0;400;10;30;30;0;0
27;18;0;400;10;30;30;0;0
28;18;0;400;10;30;30;0;0
29;18;0;400;10;30;30;0;0
30;18;0;400;10;30;30;0;0
31;18;0;400;10;30;30;0;0
32;18;0;400;10;30;30;0;0
33;18;0;400;10;30;30;0;0
34;18;0;400;10;30;30;0;0
35;18;0;400;10;30;30;0;0
36;18;0;400;10;30;30;0;0
37;18;0;400;10;30;30;0;0
38;18;0;400;10;30;30;0;0
39;18;0;400;10;30;30;0;0
40;18;0;400;10;30;30;0;0
41;18;0;400;10;30;30;0;0
42;18;0;400;10;30;30;0;0
43;18;0;400;10;30;30;0;0
44;18;0;400;10;30;30;0;0
45;18;0;400;10;30;30;0;0
46;18;0;400;10;30;30;0;0
47;18;0;400;10;30;30;0;0
48;18;0;400;10;30;30;0;0
49;18;0;400;10;30;30;0;0
50;18;0;400;10;30;30;0;0
51;18;0;400;10;30;30;0;0
52;18;0;400;10;30;30;0;0
53;18;0;400;10;30;30;0;0
54;18;0;400;10;30;30;0;0
55;18;0;400;10;30;30;0;0
56;18;0;400;10;30;30;0;0
57;18;0;400;10;30;30;0;0
58;18;0;400;10;30;30;0;0
59;18;0;400;10;30;30;0;0
60;18;0;400;10;30;30;0;0
61;18;0;400;10;30;30;0;0
62;18;0;400;10;30;30;0;0
63;18;0;400;10;30;30;0;0
64;18;0;400;10;30;30;0;0
65;18;0;400;10;30;30;0;0
66;18;14;400;10;30;30;750620;1726183732170773459
67;18;0;400;10;30;30;0;0
68;18;0;400;10;30;30;0;0
69;18;0;400;10;30;30;0;0
70;18;0;400;10;30;30;0;0
71;18;0;400;10;30;30;0;0
72;18;0;400;10;30;30;0;0
73;18;0;400;10;30;30;0;0
74;18;0;400;10;30;30;0;0
75;18;0;400;10;30;30;0;0
76;18;0;400;10;30;30;0;0
77;18;0;400;10;30;30;0;0
78;18;0;400;10;30;30;0;0
79;18;0;400;10;30;30;0;0
80;18;0;400;10;30;30;0;0
81;18;0;400;10;30;30;0;0
82;18;0;400;10;30;30;0;0
83;18;0;400;10;30;30;0;0
84;18;0;400;10;30;30;0;0
85;18;0;400;10;30;30;0;0
86;18;0;400;10;30;30;0;0
87;18;0;400;10;30;30;0;0
88;18;0;400;10;30;30;0;0
89;18;0;400;10;30;30;0;0
90;18;0;400;10;30;30;0;0
91;18;0;400;10;30;30;0;0
92;18;0;400;10;30;30;0;0
93;18;0;400;10;30;30;0;0
94;18;0;400;10;30;30;0;0
95;18;0;400;10;30;30;0;0
96;18;0;400;10;30;30;0;0
97;18;0;400;10;30;30;0;0
98;18;0;400;10;30;30;0;0
99;18;0;400;10;30;30;0;0
0;18;0;400;10;30;30;0;0
1;18;0;400;10;30;30;0;0
2;18;0;400;10;30;30;0;0
3;18;0;400;10;30;30;0;0
4;18;0;400;10;30;30;0;0
5;18;0;400;10;30;30;0;0
6;18;0;400;10;30;30;0;0
7;18;0;400;10;30;30;0;0
8;18;0;400;10;30;30;0;0
9;18;0;400;10;30;30;0;0
10;18;0;400;10;30;30;0;0
11;18;0;400;10;30;30;0;0
12;18;0;400;10;30;30;0;0
13;18;0;400;10;30;30;0;0
14;18;0;400;10;30;30;0;0
15;18;15;400;10;30;30;1516131;1726183731660737821
16;18;0;400;10;30;30;0;0
17;18;0;400;10;30;30;0;0
18;18;0;400;10;30;30;0;0
19;18;0;400;10;30;30;0;0
20;18;0;400;10;30;30;0;0
21;18;0;400;10;30;30;0;0
22;18;0;400;10;30;30;0;0
23;18;0;400;10;30;30;0;0
24;18;0;400;10;30;30;0;0
25;18;0;400;10;30;30;0;0
26;18;0;400;10;30;30;0;0
27;18;15;400;10;30;30;505148;1726183731780789430
28;18;0;400;10;30;30;0;0
29;18;0;400;10;30;30;0;0
30;18;0;400;10;30;30;0;0
31;18;0;400;10;30;30;0;0
32;18;0;400;10;30;30;0;0
33;18;0;400;10;30;30;0;0
34;18;0;400;10;30;30;0;0
35;18;0;400;10;30;30;0;0
36;18;0;400;10;30;30;0;0
37;18;0;400;10;30;30;0;0
38;18;0;400;10;30;30;0;0
39;18;0;400;10;30;30;0;0
40;18;0;400;10;30;30;0;0
41;18;0;400;10;30;30;0;0
42;18;0;400;10;30;30;0;0
43;18;0;400;10;30;30;0;0
44;18;0;400;10;30;30;0;0
45;18;0;400;10;30;30;0;0
46;18;0;400;10;30;30;0;0
47;18;0;400;10;30;30;0;0
48;18;0;400;10;30;30;0;0
49;18;0;400;10;30;30;0;0
50;18;0;400;10;30;30;0;0
51;18;0;400;10;30;30;0;0
52;18;0;400;10;30;30;0;0
53;18;0;400;10;30;30;0;0
54;18;0;400;10;30;30;0;0
55;18;0;400;10;30;30;0;0
56;18;0;400;10;30;30;0;0
57;18;0;400;10;30;30;0;0
58;18;0;400;10;30;30;0;0
59;18;0;400;10;30;30;0;0
60;18;0;400;10;30;30;0;0
61;18;0;400;10;30;30;0;0
62;18;0;400;10;30;30;0;0
63;18;0;400;10;30;30;0;0
64;18;0;400;10;30;30;0;0
65;18;0;400;10;30;30;0;0
66;18;0;400;10;30;30;0;0
67;18;0;400;10;30;30;0;0
68;18;0;400;10;30;30;0;0
69;18;0;400;10;30;30;0;0
70;18;0;400;10;30;30;0;0
71;18;0;400;10;30;30;0;0
72;18;0;400;10;30;30;0;0
73;18;0;400;10;30;30;0;0
74;18;0;400;10;30;30;0;0
75;18;0;400;10;30;30;0;0
76;18;0;400;10;30;30;0;0
77;18;0;400;10;30;30;0;0
78;18;0;400;10;30;30;0;0
79;18;0;400;10;30;30;0;0
80;18;0;400;10;30;30;0;0
81;18;0;400;10;30;30;0;0
82;18;0;400;10;30;30;0;0
83;18;0;400;10;30;30;0;0
84;18;0;400;10;30;30;0;0
85;18;0;400;10;30;30;0;0
86;18;0;400;10;30;30;0;0
87;18;0;400;10;30;30;0;0
88;18;0;400;10;30;30;0;0
89;18;0;400;10;30;30;0;0
90;18;0;400;10;30;30;0;0
91;18;0;400;10;30;30;0;0
92;18;0;400;10;30;30;0;0
93;18;0;400;10;30;30;0;0
94;18;0;400;10;30;30;0;0
95;18;0;400;10;30;30;0;0
96;18;0;400;10;30;30;0;0
97;18;0;400;10;30;30;0;0
98;18;0;400;10;30;30;0;0
99;18;0;400;10;30;30;0;0
0;18;0;400;10;30;30;0;0
1;18;0;400;10;30;30;0;0
2;18;0;400;10;30;30;0;0
3;18;0;400;10;30;30;0;0
4;18;0;400;10;30;30;0;0
5;18;0;400;10;30;30;0;0
6;18;0;400;10;30;30;0;0
7;18;0;400;10;30;30;0;0
8;18;0;400;10;30;30;0;0
9;18;0;400;10;30;30;0;0
10;18;0;400;10;30;30;0;0
11;18;0;400;10;30;30;0;0
12;18;0;400;10;30;30;0;0
13;18;0;400;10;30;30;0;0
14;18;0;400;10;30;30;0;0
15;18;0;400;10;30;30;0;0
16;18;0;400;10;30;30;0;0
17;18;0;400;10;30;30;0;0
18;18;0;400;10;30;30;0;0
19;18;0;400;10;30;30;0;0
20;18;0;400;10;30;30;0;0
21;18;0;400;10;30;30;0;0
22;18;0;400;10;30;30;0;0
23;18;0;400;10;30;30;0;0
24;18;0;400;10;30;30;0;0
25;18;0;400;10;30;30;0;0
26;18;16;400;10;30;30;838848;1726183731770830593
27;18;0;400;10;30;30;0;0
28;18;0;400;10;30;30;0;0
29;18;0;400;10;30;30;0;0
30;18;0;400;10;30;30;0;0
31;18;0;400;10;30;30;0;0
32;18;0;400;10;30;30;0;0
33;18;0;400;10;30;30;0;0
34;18;0;400;10;30;30;0;0
35;18;0;400;10;30;30;0;0
36;18;0;400;10;30;30;0;0
37;18;0;400;10;30;30;0;0
38;18;0;400;10;30;30;0;0
39;18;0;400;10;30;30;0;0
40;18;0;400;10;30;30;0;0
41;18;0;400;10;30;30;0;0
42;18;0;400;10;30;30;0;0
43;18;0;400;10;30;30;0;0
44;18;0;400;10;30;30;0;0
45;18;0;400;10;30;30;0;0
46;18;16;400;10;30;30;969296;1726183731970886505
47;18;0;400;10;30;30;0;0
48;18;0;400;10;30;30;0;0
49;18;0;400;10;30;30;0;0
50;18;0;400;10;30;30;0;0
51;18;0;400;10;30;30;0;0
52;18;0;400;10;30;30;0;0
53;18;0;400;10;30;30;0;0
54;18;0;400;10;30;30;0;0
55;18;0;400;10;30;30;0;0
56;18;0;400;10;30;30;0;0
57;18;0;400;10;30;30;0;0
58;18;0;400;10;30;30;0;0
59;18;0;400;10;30;30;0;0
60;18;0;400;10;30;30;0;0
61;18;0;400;10;30;30;0;0
62;18;0;400;10;30;30;0;0
63;18;0;400;10;30;30;0;0
64;18;0;400;10;30;30;0;0
65;18;0;400;10;30;30;0;0
66;18;0;400;10;30;30;0;0
67;18;0;400;10;30;30;0;0
68;18;0;400;10;30;30;0;0
69;18;0;400;10;30;30;0;0
70;18;0;400;10;30;30;0;0
71;18;0;400;10;30;30;0;0
72;18;0;400;10;30;30;0;0
73;18;0;400;10;30;30;0;0
74;18;0;400;10;30;30;0;0
75;18;0;400;10;30;30;0;0
76;18;16;400;10;30;30;883265;1726183732270803973
77;18;0;400;10;30;30;0;0
78;18;0;400;10;30;30;0;0
79;18;0;400;10;30;30;0;0
80;18;0;400;10;30;30;0;0
81;18;0;400;10;30;30;0;0
82;18;0;400;10;30;30;0;0
83;18;0;400;10;30;30;0;0
84;18;0;400;10;30;30;0;0
85;18;16;400;10;30;30;1412903;1726183732360812443
86;18;16;400;10;30;30;904634;1726183732370923742
87;18;0;400;10;30;30;0;0
88;18;0;400;10;30;30;0;0
89;18;0;400;10;30;30;0;0
90;18;0;400;10;30;30;0;0
91;18;0;400;10;30;30;0;0
92;18;0;400;10;30;30;0;0
93;18;0;400;10;30;30;0;0
